"location_name","avg_CO","avg_NO2","avg_SO2","avg_PM2.5","avg_PM10","avg_concentration"
"Tarawa",171.787804878049,0,0.0536585365853659,1.03414634146341,2.61707317073171,35.0985365853659
"Majuro",176.114285714286,0,0.0523809523809524,0.904761904761905,2.19523809523809,35.8533333333333
"Palikir",177.988095238095,0.00952380952380952,0.00714285714285714,0.528571428571429,0.952380952380952,35.8971428571429
"Andorra La Vella",168.485714285714,1.9952380952381,0.504761904761905,4.12142857142857,7.6452380952381,36.5504761904762
"Funafuti",179.724390243902,0,0.1,1.28536585365854,3.39756097560976,36.9014634146341
"Chi-Chi-Erh",179.969047619048,1.86904761904762,1.30952380952381,1.5,2.78571428571429,37.4866666666667
"Honiara",201.109523809524,1.24047619047619,0.897619047619048,1.66428571428571,2.71904761904762,41.5261904761905
"Farukolhufunadhoo",206.597619047619,0.080952380952381,0.145238095238095,1.03333333333333,2.15238095238095,42.0019047619048
"Apia",197.426829268293,0.209756097560976,0.334146341463415,3.69024390243902,9.40487804878049,42.2131707317073
"Belmopan",208.704761904762,0.178571428571429,0.25952380952381,2.13333333333333,2.38809523809524,42.7328571428571
